idx,abs_rel,sq_rel,rms,log_rms,a1,a2,a3
590,0.16257147,0.12291004,64.705734,2.6753557,77.54107771795627,85.13289165412485,91.05677181114335
591,0.057876736,0.009246664,33.88808,0.110286206,97.83935546875,99.2431640625,99.639892578125
592,0.47944197,540.78796,66.22502,1.7893964,75.30907468773897,93.19398419576854,95.32245730308438
593,0.13407338,0.053710274,64.05758,2.3263185,86.54996959902716,92.2061505968191,94.77903292905373
594,0.10470298,0.12626359,54.46479,0.2530715,85.5377197265625,97.2686767578125,98.5107421875
595,0.11580439,0.022125682,50.589737,0.15867682,92.86346435546875,98.54888916015625,99.19891357421875
596,0.042652965,0.0029833992,28.662533,0.07142219,99.89471435546875,100.0,100.0
597,0.12052116,0.025831714,27.674524,0.12677263,83.95233154296875,99.99542236328125,100.0
598,0.6469916,1010.0097,135.51521,0.7805763,81.80539841603361,90.61419104574107,95.4129626636496
599,0.10380713,0.024912473,70.45072,0.15683663,85.77117919921875,98.3245849609375,99.0142822265625
600,0.06956464,0.015058626,63.537952,0.106500566,96.197509765625,98.93341064453125,99.80926513671875
601,0.21945976,4.887332,109.59212,4.5348454,87.38233975795607,89.58426714477812,90.87292693859256
602,0.18574652,6.812801,85.11211,3.9335496,91.42193462750954,92.56678281068524,92.98158287705326
603,0.21960838,0.5331844,77.471436,4.7186003,69.70841329783941,77.05534575620628,83.63926205658392
604,0.1551673,0.705701,88.46449,1.8273441,87.52522164475695,93.06786915316417,94.79364108835219
605,0.07429564,0.010012002,36.24746,0.14016502,95.66802978515625,99.4110107421875,99.9176025390625
606,0.1523812,15.969668,115.88647,3.4219918,85.82500051121607,87.95779400036807,90.40345173097765
607,0.08793455,0.025985366,53.345604,0.2506556,88.12198546919836,96.72751694242628,99.22919592160694
608,0.13911363,0.12933955,80.42632,1.4576484,81.66028848984398,91.87828269525743,95.6757510496878
609,0.11785634,0.70809156,99.63082,2.38989,89.75894813732651,93.64824283743202,95.19681844006168
610,0.10500365,0.022410441,56.546764,0.19754489,89.28070068359375,98.62823486328125,99.17144775390625
611,0.086136505,0.019449834,56.352455,0.19277458,95.0469970703125,98.284912109375,99.0020751953125
612,0.18983398,1.1781477,82.83841,4.018743,80.33807493491302,86.8505452212957,89.77285590310531
613,0.24936354,74.381714,88.510155,2.4770844,94.29322320255304,96.3281396658532,96.74863900882298
614,0.0799199,0.01566254,57.806526,0.17910038,95.17669677734375,97.58148193359375,98.31085205078125
615,0.1226525,0.035312854,55.20869,0.22610246,85.546875,97.0977783203125,98.41156005859375
616,0.08107019,0.012411536,52.91128,0.1500756,97.125244140625,98.58551025390625,99.212646484375
617,0.061002932,0.009130587,40.757755,0.09224522,97.92327880859375,99.5849609375,99.798583984375
618,0.1332085,0.11552292,60.832314,1.0475134,79.61363567003387,90.1974547563097,95.28336436048464
619,0.121515304,0.033359054,64.660736,0.14589752,87.646484375,98.42987060546875,99.4476318359375
620,0.19687074,0.6264842,60.14946,1.0890697,80.79125941604931,94.70366681192803,97.14561414430679
621,0.178379,0.092326425,55.72361,3.3978248,71.26870285643626,82.90466180289353,89.14616050451342
622,0.1467043,0.06282322,78.14218,0.22458157,86.62109375,95.28045654296875,97.63641357421875
623,0.32528347,25.567421,45.711605,2.1542273,79.09770246796238,84.53672446003081,89.43168037756874
624,0.055829853,0.0052790674,49.97612,0.10763539,99.25994873046875,99.89471435546875,100.0
625,0.0894015,0.033268526,63.140026,0.20188533,91.96929931640625,97.19696044921875,98.52294921875
626,0.173053,0.057658345,85.42685,0.23361842,77.9327392578125,95.61309814453125,98.9959716796875
627,0.056383915,0.0054660384,33.897385,0.10042419,99.44000244140625,99.87945556640625,100.0
628,0.08434308,0.027340839,61.614655,0.21774104,92.08144451058504,97.22209502877116,98.77436390555123
629,7.9643655,4058268.0,54.44683,0.5771189,87.41836049563571,95.73643410852713,97.85753524995422
630,0.29428357,0.4375401,143.7131,2.5215864,46.48901692473893,86.34726814417128,93.100795495466
631,0.10253027,0.024142707,69.17905,0.42635772,85.6414794921875,96.47369384765625,98.43292236328125
632,0.1623573,0.6341917,92.93441,0.9058844,86.96419722497522,96.49560208126859,97.77161793855302
633,0.13911474,0.0478124,56.893944,1.0643443,79.2694091796875,87.62664794921875,95.07598876953125
634,0.19768053,0.27262855,97.36216,2.6927936,73.98455021181162,81.19237478195863,87.39097931721903
635,0.71047014,3687.4824,138.6201,4.1989865,50.81741366642175,89.92698383541513,91.59625275532697
636,0.083891556,0.018918524,53.290176,0.19680694,91.02935791015625,95.78399658203125,98.1658935546875
637,0.06589858,0.01525036,53.846718,0.1675092,93.53485107421875,98.211669921875,99.053955078125
638,0.06272299,0.009567747,41.37376,0.12156643,96.43707275390625,99.0447998046875,99.52545166015625
639,0.10443026,0.027958278,62.277992,0.20254467,87.01324462890625,96.820068359375,98.699951171875
640,0.12320507,0.12200626,106.247154,2.174798,89.99642303565041,93.71476264286565,95.42659558159737
641,0.14390387,0.09141369,75.632614,0.214879,86.6302490234375,95.59326171875,97.15118408203125
642,0.13496938,0.035686586,76.42885,0.14276928,95.01495361328125,98.5260009765625,99.1851806640625
643,0.14940181,0.0549489,84.73357,1.6233695,72.67732039012775,90.86801898743838,96.09261718332647
644,0.118423045,2.0477014,64.728035,1.0697379,87.73074449898841,95.26826743620708,97.09226643245871
645,0.19437373,2.3627484,77.211,3.4085555,78.15545582494623,91.29245558594684,94.66765807154049
646,0.11490831,0.10735467,83.7168,0.2117439,87.38498161231746,97.2136175667221,98.99592571681443
647,0.11321715,0.1886618,61.03762,1.3255814,95.19301736033117,97.47777813432596,98.22866861341976
648,0.8487597,8000.43,51.87614,1.4507877,72.35169122513673,85.61500679276831,91.20597763611663
649,0.053599864,0.006638488,53.21934,0.102034554,97.98583984375,99.5452880859375,99.73297119140625
650,0.078745455,0.15590794,40.855804,2.0824437,94.78706701991953,97.36286919831224,97.95162398194486
651,0.091670476,0.025594218,67.046844,0.16880983,90.2374267578125,96.4874267578125,98.37188720703125
652,0.14071153,5.1971655,86.81321,2.1105049,88.01314697603281,93.75193218243056,95.63123383068387
653,0.12477718,2.9670913,56.46543,0.93133056,85.61315298363589,94.17616484414764,96.94927279177014
654,0.09931009,0.023492575,45.238945,1.37505,91.40097678757614,99.10003841299456,99.19515630430409
655,0.09302166,0.016104348,57.164394,0.13501285,91.3665771484375,98.74725341796875,100.0
656,0.41761452,1267.4037,73.52079,3.9778922,83.10309211800401,87.89619779226648,90.39119488735395
657,0.09166135,0.013678273,58.46505,0.14153238,90.93475341796875,99.7467041015625,100.0
658,0.10510396,0.0191864,39.102264,0.14584492,91.80145263671875,99.0386962890625,99.68109130859375
659,0.048761338,0.00559251,34.66131,0.0755956,98.1353759765625,99.810791015625,100.0
660,0.16359527,7.805829,68.062546,2.4707232,71.344225021545,92.57201532904267,96.23741679960393
661,0.09385558,0.03256891,49.3209,1.682343,86.24065129952993,94.00713974187087,96.26536579062142
662,0.24079624,1.8865225,90.86284,1.1667418,74.00169515920103,89.80025907150053,94.28443492027954
663,0.1542255,0.09686121,65.90277,1.69998,85.57164330194178,94.26362771864167,95.81275499248443
664,0.11819469,0.70734143,82.76033,1.8530455,90.62380405663988,94.97384870519198,96.41854828421992
665,0.13306017,0.052661728,56.630672,0.66840917,81.95037841796875,92.22259521484375,95.013427734375
666,0.13053061,0.02689521,104.752884,0.14922975,79.632568359375,98.38104248046875,99.63226318359375
667,0.1033462,0.026566457,81.17977,0.20890659,92.73681640625,97.4639892578125,98.49395751953125
668,0.15833627,0.79136485,58.846596,2.8405473,82.98960675072492,91.00935066627571,94.24787410810282
669,0.10408241,0.026007043,70.26792,0.25019217,85.51177978515625,96.04034423828125,98.2147216796875
670,0.08796163,0.029818702,52.14803,0.53133214,94.14688608833966,98.26104245687019,99.34693502997676
671,0.12503344,0.032407112,100.49989,0.21499337,85.14404296875,94.10247802734375,97.4334716796875
672,0.057941366,0.015174501,34.807255,0.08671478,96.52252197265625,99.2095947265625,99.7833251953125
673,0.1060441,0.22868885,43.077988,3.4780574,93.43329786204895,94.56515430008706,94.91535261681338
674,0.14073655,0.033082336,71.125465,1.3005432,88.78714139344262,97.24801485655738,98.69204661885246
675,0.1116029,0.35775605,73.37129,2.4372382,91.67917971598953,95.58754129306276,96.49277103264833
676,0.14532971,1.7749435,63.28437,1.6718512,87.22616130058182,97.3415898078686,97.98514582904609
677,0.24931559,17.361012,114.76907,2.942369,88.18330605564648,92.1346738368015,93.89291559504326
678,0.13565105,0.09364574,84.80862,0.20645179,89.1632080078125,95.8465576171875,97.67303466796875
679,0.05509399,0.006042701,33.10188,0.09548584,98.06060791015625,99.9664306640625,100.0
680,0.10482258,0.019124866,72.25084,0.15977763,93.878173828125,99.39117431640625,99.74822998046875
681,0.08413106,0.011115373,55.62045,0.16179028,95.55511474609375,99.50714111328125,99.8291015625
682,0.3232437,78.43803,82.2883,2.4581466,78.09385076190321,88.96836178535771,92.5119072949572
683,0.53434074,82.01147,88.778915,3.8289857,78.74544832719738,85.02021848029453,87.80252278351138
684,0.44706643,197.25256,82.41771,3.0850925,69.66544152294787,84.00716237866365,89.67863537838092
685,0.1029713,0.024841722,64.6128,0.14299655,91.0491943359375,98.59619140625,99.658203125
686,0.06303997,0.009315099,45.31574,0.12170939,96.37451171875,99.0631103515625,99.55902099609375
687,0.09292428,0.03683065,41.487637,0.1822329,92.694091796875,97.38006591796875,99.005126953125
688,0.049763486,0.0049348893,31.766163,0.095797844,98.98529052734375,99.58953857421875,99.8138427734375
689,0.093474425,0.034462303,83.10355,0.17590648,92.6849365234375,97.20916748046875,98.5687255859375
690,0.16685465,0.037074164,106.23645,0.23856695,84.47113037109375,96.87652587890625,98.9959716796875
691,0.21524258,0.09084469,104.62733,0.21727432,57.71942138671875,94.4305419921875,97.32513427734375
692,0.13233101,0.24036346,68.645615,2.574749,83.73726156258165,91.05533054611968,94.04069767441861
693,0.2696224,6.6241846,83.0675,1.5037781,86.86127872640904,89.51726794196945,90.9471690846065
694,0.12095001,0.1296363,55.989098,2.5626783,94.83152417057148,97.05432197602958,97.5064164449363
695,0.23106669,0.094063066,123.445404,0.25722346,57.82470703125,93.23272705078125,96.71783447265625
696,0.22864415,293.09454,42.04407,2.5654113,88.17351293678314,96.36569751933848,97.25926913843692
697,1.2561785,13161.602,68.37862,3.6646442,81.69165705497885,87.77905933615277,90.55491477636807
698,0.20856175,531.0191,39.32462,2.0531728,97.91271729923768,98.25353930544912,98.3785745976687
699,0.18564571,0.83083284,65.59776,2.8826125,73.52526549920115,90.09586165846935,94.02587638231886
